Serbian,English
policiji,police
situacija,Situation
odluku,decision
damo,lady
svetla,the lights
osobe,persons
partner,partner
mrdaj,mrdaj
kraljica,the Queen
kontakt,contact
strana,side
pokazao,showed
prošlosti,past
pritisak,pressure
baka,grandma
venčanje,the wedding
kancelariji,offices
imenu,named
srećni,happy
laži,lies
promeniti,change
pozdrav,greeting
proveri,check
tad,tad
hm,hm
joe,Joe
odeću,clothes
takvu,such
adresu,address
živeti,to live
hitno,urgently
naučiti,learn
noćas,tonight
puna,full
načina,Find on
broda,ship
osobu,person
nazovi,call
нам,us
vozim,I'm driving
objasnim,explain
spasio,saved
funti,pounds
pukovniče,Colonel
jednoj,to one
vatru,fire
dolaziš,you coming
snagu,power
pustio,let go
držiš,you're holding
preveo,translated
ubij,kill
george,George
dozvolite,allow
popričamo,we talk
situaciju,situation
čekao,waited
trči,run
sazna,finds out
пре,before
cura,the girl
они,they
grozno,horrible
traje,last
reče,said
gospodina,gentleman
kancelariju,office
sjećam,I remember
koristiti,to use
učinim,I do
djevojka,girl
deco,deco
obitelji,families
zatvora,imprisonment
trebate,you need
objasniti,explain
osećanja,emotions
veličanstvo,majesty
nik,nik
budućnosti,for the future
govor,talk
išli,go
podatke,data
pričate,you talk
uhvati,grab
hey,Hey
sladak,cute
uzmeš,you take
koristio,used
valja,roll
narode,peoples
spavati,sleep
ни,neither
mnoge,many
večera,dinner
droge,drugs
koriste,they use
pozovem,call
pozadi,back
napravim,make
mogućnosti,possibilities
један,one
drvo,wood
pijan,drunk
nositi,wear
hotelu,hotel
primetio,noticed
promenio,has changed
тебе,you
kamen,stone
miris,fragrance
skini,take down
okreni,turn around
zločin,crime
njenom,by her
bivši,Former
heroj,hero
pričaju,tell
savršen,perfect
plaši,scarish
bolesna,sick
prođe,pass
majkl,Michael
pošteno,fair
odgovornost,responsibility
naredniče,sergeant
zelim,wish
prvu,first
srcu,heart
gori,burn
izlaz,exit
bliže,nearer
drugima,to others
ana,Ana
pokazuje,shows
zapamti,remember
unutar,inside of
zabrinut,Worried
ustani,get up
желим,wish
pozvati,call up
učinili,have made
ljuta,angry
prvom,first
vrstu,kind
prodaju,sales
početku,begin
ček,check
ubiću,I will kill
sudija,judge
sredi,fix
tvojom,yours
plašiš,you're afraid
mike,Mike
slušaš,you're listening
drugar,buddy
engleski,English
zahvaljujući,thanks to
ćerku,daughter
volite,he loves you
tajni,secrets
bas,bass
čudan,weird
razliku,difference
dužnost,duty
onome,to one
momče,dude
kupi,buy
vrste,kinds of
zadržati,keep
odete,you go
same,Same
laž,lie
piter,Peter
deni,Danny
æu,I'll
dođu,come
cele,entire
treći,third
vojska,the army
predivno,wonderfully
upoznam,know
mjestu,place
uhvatio,caught
dopustiti,to allow
činjenica,fact
nijedan,no one
celog,whole
sunca,sun
advokata,lawyer
vlasnik,the owner
bolest,disease
stavite,put
usred,in the middle
uništiti,destroy
jedem,I eat
počne,start
tijelo,body
verovao,believed
krug,round
restoran,the restaurant
takvo,such
oseća,feel
lek,medicine
madam,madam
стварно,real
šalim,joking
poznato,famous
dosadno,boring
sestro,sister
borbu,fight
iko,anyone
људи,people
spavala,slept
ту,here
petak,friday
mrzi,hate
završimo,let's finish
nedavno,recently
vaših,yours
увек,Always
smiješno,funny
odvratno,disgustingly
stariji,senior
cenim,I appreciate
starog,old
generale,General
sramota,shame
general,general
vina,wines
hari,Harry
ženama,to women
izađe,comes out
blago,treasure
slatka,cute
počelo,began
sudbina,fate
kosa,hair
ponosan,proud
moga,my
meta,target
djeca,children
bori,bori
jedeš,you eat
bacio,threw away
ostavim,leave
pametno,smartly
djecu,children
сви,all of
dogovoreno,Agreed
snimak,shot
kopile,bastard
lepe,pretty
pala,fell
nesreća,accident
ruci,hand
hmm,hmm
licu,face
glupost,stupidity
vođa,leader
tetka,aunt
zube,teeth
nalog,account
džoni,Johnny
jebeš,fuck
kakvi,what
plus,plus
mozga,brain
ukus,taste
vratima,door
predstavu,show
poruke,messages
kratko,short
umrijeti,die
komad,piece
ključeve,keys
govno,shit
menja,modifies
pokušali,tried
vremenu,time
operaciju,surgery
duše,souls
kupila,bought
otprilike,Approximately
zgrade,buildings
igrao,played
planove,plans
drugačiji,different
čoveku,man
njegovih,of his
cure,Cure
сад,USA
otvorite,open
centru,center
идемо,here we go
rupu,hole
mislis,you mean
vodite,run
uhvatili,caught
muzika,music
zadrži,keep
ocem,dude
kutiju,box
krenuti,start off
plati,pay
brige,worry
čudovište,monster
braku,marriage
vrat,neck
selo,the countryside
ćuti,do not speak
velikom,large
iznenada,suddenly
and,and
можеш,You can
mogućnost,possibility
по,as per
moli,molly
pogledati,look
hiljade,thousands
odlična,excellent
razlika,the difference
sačekajte,please wait
dar,gift
mobilni,mobile
pozvala,invited
prokleto,damn
prolazi,passes
pobedio,won
vojnik,soldier
požurite,hurry up
dobrog,good
borba,fight
izvor,source
park,park
muči,bother
sudu,court
pojavi,appears
opasnost,hazard
rej,Ray
počnemo,lets start
član,member
snaga,power
cenu,price
grudi,chest
dodji,come over
ubiju,kill
gomila,a bunch
doneti,bring
zabavi,fun
pisma,letters
zla,evil
pokušavao,tried
poštovanje,respect
pucaj,shoot
poznat,famous
odnos,relationship
dovesti,bring
operacija,operations
istom,to the same
због,because
kojih,which
bolja,better
pročitao,read
време,time
opa,Oh well
dugujem,I owe
nosio,wore
los,los
pošalji,Send
donela,brought
opasan,hazardous
ideje,ideas
makar,at least
by,by
umorna,tired
kiša,rain
smirite,calm down
americi,america
јер,for
profesor,professor
fantastično,fantastic
poslednjih,last
gledala,watched
leta,summer
boriti,fight
gledali,watched
izađi,get out
duša,soul
dečaka,boy
napravimo,let's make
pravilo,rule
prokleta,damn
začepi,Shut
naročito,particularly
informacija,information
jedni,one
morat,morat
čist,pure
kamera,camera
moraćeš,you will have to
laže,lies
nastavimo,Let's continue
poludeo,crazy
kreće,moving
rođen,born
neprijatelja,enemy
poznajete,you know
rada,work
borbe,fights
nagradu,prize
zaboravite,forget it
cak,even
hocu,I will
novom,new
trik,trick
uzme,take
muka,feel sick
c,c
država,country
ulogu,role
moraću,I'll have
kosti,bones
košta,it cost
odlučila,decided
grešku,mistake
milja,mile
ponašanje,behavior
krenuli,started
bebe,babe
gledaju,watch
mame,mommy
uđe,enters
gomilu,pile
prodaje,sales
uzeću,I'll take
pogodi,guess it
pomislila,thought
toni,Tony
drogu,drug
ubice,the killers
pijem,I drink
tima,team
džejn,Jane
kupim,buy
đubre,garbage
david,David
otkrili,discovered
celom,entirely
bolnice,hospitals
najgore,the worst
ribe,fish
crni,black
džordž,George
energije,Energy
riječi,words
profesore,Professor
b,b
osećao,feel
nivo,level
zaljubljen,in love
izgledalo,looked
pođi,go
roditelje,parent
umu,mind
šumi,forest
zvezde,stars
čujemo,we hear
visoko,high
vruće,hot
torbu,bag
ћемо,we will
idiote,you idiot
đavo,the devil
kamere,cameras
govorila,spoke
pogledao,He looked
raj,paradise
uhvatiti,catch
ostavili,left
prodao,sold
bolesti,disease
duga,long
boja,the color
jaka,strong
ponudu,bid
ubijena,killed
predstavlja,represents
osiguranje,insurance
roditelja,parent
pronašla,found
razgovara,talk
mary,Mary
izabrao,chose
sekund,second
razmišljaš,you're thinking
sredio,arranged
gas,gas
nebo,the sky
ствари,things
krećemo,off we go
leti,in summer
моја,my
sreo,met
sreli,met
šou,show
poziva,call
uspela,succeeded
gđica,Miss
колико,how much
love,love
diraj,touch
granice,limits
banke,banks
udari,strike
odgovoran,responsible
зато,therefore
mlad,young
loptu,ball
ortak,Buddy
njihovu,their
pantalone,pants
otvorena,open
govorimo,we speak
pesma,song
fali,fali
dvadeset,twenty
slobodna,free
ptica,bird
stolu,desk
pametna,smart
konj,horse
kučko,bitch
nasamo,in private
hiljadu,a thousand
izašla,gone out
nadao,hoped
jake,jake
cijelu,entirely
džejms,James
teška,hard
vraga,hell
džej,Jay
kurva,whore
gazda,the boss
ubrzo,soon
морам,I have to
nevolje,troubles
nečemu,to something
potez,move
zaveži,tie
sledećeg,next
vozio,drove
odlučili,decided
већ,already
неће,will not
maks,Max
lovu,hunting
otkriti,to discover
žurku,party
kučkin,bitch
stoj,stand
držao,kept
ozbiljna,serious
izgledao,looked
neprijatelj,enemy
budalo,you fool
grupe,Groups
nada,hope
pogrešio,was wrong
praviš,you make
јеси,Are
ovakav,like this
priznati,to admit
здраво,Hello
odrastao,grown up
visosti,Highness
zakona,law
saznam,find out
много,much
pokazaću,I'll show
mjeseci,months
covek,man
gledamo,we watch
cveće,flowers
ces,ces
oženjen,married
tragove,traces
živjeti,live
žalim,I regret
otvoriti,open
leži,lies
vatra,the fire
klubu,club
vozila,vehicles
momke,guys
zgodan,good looking
slobodu,liberty
prostor,space
sećate,remember
uključujući,including
ispravno,correctly
direktno,directly
dobija,obtain
vojnici,soldiers
džimi,Jimmy
оно,what
krivi,fault
sredim,am the middle
bomba,bomb
kučka,bitch
deci,kids
odelo,suit
karen,Karen
ниси,you are not
poznaje,knows
неко,someone
verujete,you believe
novinama,newspaper
dvaput,twice
martin,Martin
vrhu,top
leo,Leo
pobogu,for God's sake
pravom,right
stigne,arrive
uđem,im in
stavim,put
svakoga,everyone
sinko,son
rezultat,the result
delu,part
aleks,Alex
životom,life
filmu,film
kuhinji,kitchen
bojiš,you're afraid
zadnja,last
kćer,daughter
ostalih,other
voziš,you're driving
padne,fall
očekujem,I expect
fin,fine
upali,inflamine
vodio,led
haljinu,dress
direktor,Director
london,London
proverim,I will check
širom,across
glavom,head
vojnika,soldier
mač,sword
crna,black
prijatno,pleasant
delo,deed
ondje,there
razmišljala,thought
izađem,I'll go out
odjebi,fuck off
koristim,I'm using
imas,have
voditi,lead
čitav,entire
poseban,special
agente,agent
raste,growing
edi,Eddi
poljubac,kiss
predlažem,I suggest
poći,go
jeo,ate
kontrolom,controlled
vetar,wind
gospodar,Lord
iskustva,experiences
svašta,everything
tomi,Tommy
doista,truly
nervozan,nervous
spasi,save
дa,Yes
miči,mice
cemu,what
мислиш,you mean
šalje,sends
veštica,witch
položaj,position
poenta,the point
jelo,dish
sviđaš,you like
stanice,stations
ptice,birds
crveni,red
zvaću,I will call
iskustvo,experience
kaznu,punishment
prst,finger
večer,evening
plaća,pay
pratio,followed
zahvalim,thank
miran,quiet
zaslužuje,deserves
наравно,of course
smeće,trash
lijepa,pretty
države,States
strava,awesome
ponašaš,you're acting
баш,right
pucao,shot
poslom,business
autobus,the bus
marija,Maria
čista,pure
roditeljima,to parents
krenem,go
stanicu,station
izgledate,you look
nov,new
umreš,you die
stanici,station
majkom,mother
filma,film
detektive,detective
gotovi,finished
harry,Harry
promeni,change
izvukao,pulled out
napao,attacked
čekaš,you are waiting
drže,hold
hoces,you want
bobi,bobby
voleli,loved
duha,spirit
naprijed,forward
robert,Robert
smemo,we can
uostalom,after all
zezaš,you're kidding
šefa,boss
klijent,client
dogovorili,agreed
ujak,uncle
док,while
greške,errors
ulica,Street
okay,Okay
sretno,good luck
naređenja,orders
vojsku,army
promene,changes
без,without
pišem,I'm writing
cekaj,Wait
prihvatiti,accept
овај,this one
poslove,jobs
dosije,dossier
ulicu,street
izgubim,lose
čiji,whose
nogama,legs
shvaćam,I understand
odluke,decisions
pariz,Paris
ubicu,murderer
svedoka,witness
sretna,happy
propustio,missed
kilometara,kilometers
zamisliti,imagine
borbi,battle
moraćemo,We will have to
kreveta,beds
nekoj,to
novcem,money
pića,drink
led,ice
него,than
jane,I do not
nikakav,none
n,n
nose,wearing
međuvremenu,meanwhile
krene,start
novim,new
izuzetno,exceptionally
braća,brothers
voljela,loved
rešenje,solution
probudio,woke up
uši,ears
zovite,call
pitate,you ask
ured,in the line
lagala,lied
max,Max
odveo,led
zamalo,almost
можемо,we can
koristiš,you are using
džejk,Jake
parku,park
donosi,brings
most,bridge
stavila,put
odgovore,answers
spisak,list
zovete,you call
razume,understand
rak,cancer
zovemo,We call
napustiti,to leave
naređenje,order
podataka,Data
obzir,consideration
šerife,Sheriff
velikoj,great
vijesti,news
stvorio,created
ii,II
normalan,normal
alex,Alex
lov,hunt
donesem,I bring
kameru,cam
uništio,destroyed
operacije,operations
neobično,unusual
smesta,immediately
smrdi,stink
danny,Danny
pije,she drinks
uzmemo,we take
povredio,injured
razgovaraš,you are talking
baru,bar
zaboravim,I forget
господине,Sir
devojkom,girl
stotine,hundreds
želja,wish
vrate,come back
paul,Paul
stoje,what is
ovakve,like this
ispalo,turned out
vatre,fire
crkvu,church
piješ,you drink
vraćamo,We're going back
jučer,yesterday
udala,married
stomak,stomach
stanica,station
šešir,a hat
nade,hopeful
osnovu,basis
istog,same
prestao,quit
dužnosti,duties
видим,I see
tužno,sad
važna,important
pokušavamo,We are trying
gladna,hungry
njenim,her
mjesec,month
krije,hide
vodiš,you lead
malom,small
henry,Henry
jao,wow
osjećaj,feeling
iznutra,from the inside
partnera,partner
ustaj,Get up
američki,american
veruju,they believe
pažnja,attention
jedi,eat
njihovim,their
mozemo,we can
tony,Tony
običan,ordinary
igri,games
čvrsto,solid
gadno,rough
dokle,until
palo,fell
nestalo,disappeared
жао,evil
emili,Emily
papir,paper
mrtvih,dead
fotografije,Photos
vozač,driver
naučila,learned
misija,mission
stati,What do you
imenom,named
srećom,Luckily
postali,become
slušati,listen
dobijemo,we get
lisa,Lisa
kejt,Kate
slučaja,CASE
pacijent,patient
alo,Hello
pokušavaju,they try
moru,sea
odoh,I'm off
rok,time limit
sklanjaj,get away
ribu,fish
krivim,blame
prelepo,beautiful
povrediti,hurt
ekipa,the crew
ceš,you will
saznala,found out
provesti,spend
veća,greater
ћеш,you will
tati,daddy
teže,more difficult
peter,Peter
jimmy,Jimmy
očekuje,expected
umjesto,instead of
dani,days
sinu,son
mašina,the machine
cool,Cool
tvrdi,claims
molimo,Please
čitam,I'm reading
potpunosti,fully
dobrodošao,well come
huh,huh
gubitak,loss
ljudsko,human
tjedna,week
helen,Helen
ušla,entered
dovedi,bring
jače,stronger
sveti,holy
javite,let me know
uzrok,cause
uništi,destroy
ulaz,entrance
види,see
ostrvo,Island
policajca,police officer
sladoled,ice cream
glavna,main
lažem,I lie
hitnu,urgent
rupa,hole
verujemo,we believe
smijem,laugh
били,be
јој,her
gledate,you are looking
bića,creature
liniju,line
pomogla,helped
sela,village
drug,friend
udar,impact
voziti,drive
princ,prince
počinjem,I'm starting
počni,start
ostaviš,you leave
rizik,risk
očiju,eyes
nimalo,not at all
odu,leave
pravog,real
pogodio,hit
prelepa,beautiful
deteta,child
straha,fear
zahvalan,grateful
isus,Jesus
model,model
nacin,the way
буде,be
najveća,the biggest
luk,onion
svedok,until
знате,you know
izađeš,you go out
pomognemo,We help
steve,steve
pronađem,I find
opremu,equipment
kafe,coffee
sarah,Sarah
čašu,glass
vremenom,over time
krila,wings
miriše,smells
razumiješ,you understand
poznavao,knew
viski,whiskey
пут,the road
ох,oh
istragu,investigation
pustiš,you let
igraju,they play
kompanija,Company
uzimam,I'll take
takodje,Too
stil,style
čuva,stores
pustim,let
dodaj,Add
videćeš,you will see
devojčice,girls
pesme,songs
mira,maid
pitali,asked
pratiti,follow
које,who is
policajci,police officers
počnem,I'm starting
njihovo,their
velik,big
vozilo,vehicle
vjeruj,Believe
služi,serving
pratim,I follow
aviona,airplane
james,James
sred,middle
pratite,follow up
zgradu,building
radis,you're doing
izađemo,let's go out
psi,dogs
могао,Could
sklonite,get away
stav,attitude
zaslužio,deserved
inspektore,Inspector
savršena,perfect
djevojke,girls
kapetana,Captain
objasni,explain
zamolio,asked
namerno,on purpose
sali,Sali
predsednika,president
planine,mountains
čine,make
дана,of the day
londonu,London
хоћеш,you will
sastanku,meeting
covece,man
živela,lived
priznajem,confess
stavili,put
pobegla,escaped
želju,desire
razmislim,think about
zabrinuta,worried
кажем,I say
требало,needed
nazvala,named
genije,genius
podigni,lift up
ubojica,killer
promena,change
sluša,listens
pobediti,win
otkako,since
povratak,return
izraz,expression
povređen,injured
prošlog,last
spremno,ready
rukom,by hand
sok,juice
bezbedno,safely
uradiću,I will do
trajati,last
oprostiti,to forgive
polje,field
planete,planets
slobodni,free
boze,God
toku,flow
shvatili,realized
momaka,guy
dozvoljeno,permitted
zgrada,Building
podršku,support
mamom,mum
stopala,feet
stignemo,we arrive
dovodi,brings
majore,Major
bil,bil
ljuti,angry
primio,received
ради,because of
kombi,Van
otvorio,opened
mjeseca,month
mlade,young
jedinica,unit
saznamo,let's find out
duguješ,you owe
planeta,planet
jadni,poor
kamp,camp
ušli,entered
linija,the line
boji,afraid
poručnik,lieutenant
pozdravi,greetings
pete,heels
mrtvog,dead
šerif,sheriff
имамо,we have
poljubi,kiss
dnevno,daily
pukovnik,colonel
sedim,I'm sitting
nosila,wore
samu,alone in
тога,that
njujork,New York
selu,village
izlazim,I'm going out
djece,children
čudna,odd
mrtve,dead
udara,strike
морамо,we must
detalje,detail
ovoliko,this much
decom,kids
pomeri,move
ostanemo,let's stay
popraviti,to fix
sekundu,second
suđenje,Trial
plana,plane
krenula,set off
ujka,uncle
dobrih,good
zaštitu,protection
uzima,takes
napraviš,you make
malim,small
utakmicu,match
planeti,planet
podu,floor
jedu,they eat
uplašio,frightened
тај,that
jedemo,we eat
томе,to that
čitao,read
svetlost,light
ray,Ray
kazem,telling
crkvi,church
prestaneš,you stop
plaži,pay
kris,Chris
prostora,space
staro,old
uprkos,in spite of
međutim,However
kutija,box
neprijatno,unpleasantly
uzbudljivo,exciting
imalo,had
sekunde,seconds
pravcu,direction
prijem,reception
rane,wounds
lopov,a thief
karijeru,career
bako,Grandma
samoubistvo,suicide
piva,beer
prodati,sell
kompanije,Companies
it,IT
držimo,we hold
stana,flat
zaštiti,to protect
problemi,Problems
vrh,top
željela,wanted
spremi,prepare
izjavu,statement
funkcioniše,it works
momcima,guys
činjenice,facts
takvim,like that
umirem,I am dying
zahteva,requires
prednost,advantage
objašnjenje,explanation
papire,papers
beli,white
pobegne,run away
smisao,sense
platim,pay
če,will
parizu,Paris
vodom,water
saznali,found out
onima,He has
nick,Nick
značilo,meant
listu,list
danima,days
dokazati,to prove
mačka,a cat
nikakvog,no
моје,mine
subotu,Saturday
učiniš,you do
pojeo,He ate
potrebni,needed
pozvaću,I will call
bombu,bomb
uspio,succeeded
nagrada,reward
potrazi,look it up
obuci,put on
zadovoljan,satisfied
vredno,valuable
navodno,allegedly
shvatim,realize
promenila,changed
значи,mean
posto,since
riješiti,solve
razgovarala,talked
zdravlje,health
epizoda,episode
pobeći,Escape
kćeri,daughters
čekala,waited
slučajnost,coincidence
završava,ends
bogatstvo,wealth
devojko,girl
traga,trace
muškaraca,men
dolazio,was coming
pripremite,prepare
energiju,energy
имаш,have
čekali,waited
zgradi,building
njime,it
mrziš,you hate
pogledaš,you look
situaciji,situation
oblik,the shape
bogat,rich
javio,reported
ubojstvo,murder
brzinu,speed
твој,yours
мора,must
код,code
jedinice,units
verujte,believe
zamislite,imagine
upoznaš,you know
srednje,medium
gubimo,we lose
of,of
pojesti,eat
ponavljam,I repeat
dovela,led
боље,better
изгледа,looks like
reke,rivers
cena,the price
konje,horses
lezi,lie down
linije,lines
nestane,disappear
postavio,Posted by
fina,fine
sljedeći,next
jela,dishes
guzicu,ass
toalet,Toilet
svemir,space
borio,borio
napustila,left
можете,you can
prestane,ceases
osetio,felt
seksa,sex
pogledamo,we look
visok,tall
svijeta,world
oženio,married
своје,its
tommy,Tommy
ponaša,behave
rezultate,results
uspe,succeed
francuski,French
najboljih,the best
izgled,appearance
vidjet,see
nevin,innocent
pisao,wrote
čija,whose
zauzeta,busy
osećala,felt
htjeli,wanted
osjećaš,you feel
bombe,bombs
ponudio,offered
knjizi,book
ted,ted
oluja,the storm
svidja,likes
stoga,so
mleko,milk
година,year
svrhe,purposes
sledeća,next
jadna,miserable
mogle,could
adam,Adam
trener,coach
istoj,out
која,which
završiš,you're done
interesuje,interested
uhapšen,busted
keli,Kelly
grupu,group
takvi,such
preuzeti,pick up
prijateljice,Friends
ameriku,america
onoj,to that
kupatilo,the bathroom
pogleda,look
želje,wishes
javiti,call
kaput,coat
otrov,poison
informaciju,info
ed,ed
živite,you live
njihovih,their
nikom,nig
sanjao,dreamed
muda,mud
kompjuter,computer
odlazite,you're leaving
javlja,occur
in,in
rupe,hole
urade,do
mesa,meat
čin,act
yeah,Yeah
посао,a job
pogotovo,especially
razumeti,to understand
kazna,punishment
princeza,princess
shvatiš,you realize
restoranu,restaurant
iskoristiti,use
razgovora,conversation
najgori,the worst
dođete,you come
greg,Greg
кући,home
zaustavite,stop
timu,team
kler,Claire
uživaj,enjoy
nađu,find
pogrešan,incorrect
nestali,disappeared
dobrim,good
skupa,set
žurka,party
crno,black
crveno,red
interesantno,interesting
spasao,saved
nečeg,something
istoriji,history
napisala,wrote
diži,rise
promenilo,changed
prešao,crossed
zauvijek,forever
trudim,I try
govorili,spoke
bogom,God
uđeš,you come in
poginuo,doughed
snova,dreams
идем,I'm going to
go,go
devojaka,girlfriend
lepu,pretty
stao,stopped
pse,dogs
najvažnije,most important
njenoj,her
paket,package
odvedi,take away
zivot,Life
eddie,Eddie
zatvoren,closed
moras,you must
velikih,large
virus,virus
droga,drug
neæe,won't
toplo,warm
kafa,coffee
otvoren,opened
seme,seeds
odbio,refused
ućuti,shut up
ejmi,Amy
istraživanje,research
tate,tate
sise,tits
uzgred,by the way
članak,Article
brz,fast
hrabrosti,courage
spavaj,sleep
piti,to drink
bela,White
vojske,armies
pozvali,invited
hoceš,you want
uči,get in
gladi,hunger
dat,given
izgubiš,you lose
lekove,medicine
vraćaj,goiter
svoga,mate
predstava,Performance
starom,old
crvena,Red
počneš,you start
hotela,Hotels
pomoci,help
nauči,learn
čitaš,you read
kvragu,hell
gdin,Mr.
staru,old
prirodno,natural
stiv,steve
kukavica,coward
kontrole,controls
umiru,in peace
pomislim,I think
дан,day
podnesem,I submit
ljubomoran,jealous
prolaz,passage
putovanja,trips
uspelo,succeed
suprug,husband
momenat,moment
zadnjih,last
snove,dreams
pomoglo,helped
teorija,theory
два,two
dnevnik,diary
pobedi,win
stižem,I'm coming
promijeniti,change
uplašen,frightened
većinu,most
nalaze,found
korist,benefit
podne,noon
neba,sky
zelis,zelis
krov,the roof
popio,drank
ispričavam,I'm sorry
uživo,live
otvoreno,openly
očekuješ,you expect
smatra,considered
crkve,churches
kuca,a house
leda,ice
crne,black
ostalima,others
sviđaju,they like
veceras,tonight
budan,awake
pronađemo,we find
terenu,terrain
dozvolio,permitted
umalo,nearly
banku,bank
ubiće,the killers
rešiti,solve
područje,area
utisak,impression
lusi,lucy
projekat,project
nesreću,accident
dosad,so far
dolazimo,we are coming
kancelarije,offices
shvati,realize
cijelo,all
besplatno,free
naroda,peoples
боже,god
ludilo,madness
rana,wound
ponuda,a bid
mo,mo
sposoban,fit
haljina,dress
pogodak,shot
jebene,fucking
spratu,floor
нећу,I will not
bolju,better
bobe,bob
odlaziš,are you leaving
stvorenja,creatures
bore,wrinkle
dokazi,prove it
slušao,I listened
jebenu,fucking
kluba,club
seronja,asshole
planu,plane
izdao,issued
kevin,Kevin
omiljeni,favorite
pokupi,pick up
noga,foot
agenta,agent
nedostaješ,miss you
pokušaću,I will try
wc,toilet
pozovite,call
izgledati,look
zaljubljena,in love
vlade,governments
luis,Luis
požar,fire
društvu,society
uređaj,device
kolena,knee
r,r
vazduha,air
odlazimo,we're leaving
vlasti,authorities
pobrini,take care
istine,truth
noc,night
drugde,elsewhere
ponoviti,repeat
мислио,thought
dejvid,David
plaćam,pay
venčanja,weddings
pušku,rifle
rođak,cousin
staviš,you put
provela,spent
izgledala,looked
рећи,to tell
stepenice,stairs
čuvar,guard
proklet,damned
poznata,famous
osobno,personally
postaju,become
kožu,leather
udati,marry
el,el
novih,new
uzorak,sample
york,York
slatki,cute
veæ,butt
prste,fingers
zamislim,imagine
karl,Karl
bice,will be
anđela,angel
luke,Luke
cao,bye
prate,follow
date,Date
golf,golf
kate,kate
postanem,become
sendvič,a sandwich
očekivala,expected
nečim,something
bratu,brother
odrasla,adult
proces,process
postalo,became
dođemo,we come
mari,mary
budale,fools
pasti,fall down
pisac,writer
gubite,lose
bend,the band
izvrsno,excellent
adresa,address
vikenda,weekend
izazov,challenge
mlađi,younger
zahtev,a request
zaboravili,forgot
ljudska,human
uma,mind
радиш,you're doing
pripremi,prepare
oprezan,careful
telu,body
stola,table
misiju,mission
muškarce,men
raspored,schedule
takvog,such
večere,dinner
billy,Billy
vodimo,We are taking
nebu,sky
ljudski,human
popričam,chat
vojsci,army
puni,full
setim,remember
doneću,I will bring
uspori,slow
uhvate,caught
ствар,thing
ostavimo,lets leave
jednoga,one
nekakav,some
sudbinu,destiny
stojim,standing
krivo,crooked
æeš,you will
sistema,system
bolnica,hospital
iznenađen,stunned
unazad,backwards
њега,him
narednik,sergeant
zatvorena,imprisoned
ničeg,nothing
pustili,let go
sezona,season
snu,dream
krenite,go
karticu,card
voleti,to love
znanje,knowledge
ču,I will
никада,never
posebna,special
izašli,out
datum,date
erik,Erik
добар,Good
beše,whit
pojavila,appeared
dane,Yes No
probao,tried
koledž,college
nered,mess
sveštenik,priest
pilot,pilot
ogroman,huge
slomio,broke
amerikanci,Americans
veka,century
glasine,rumor
nesreće,accidents
pio,pio
stolom,desk
viđenja,seeing
njihovi,their
planetu,planet
spustite,put down
šampanjac,champagne
veličine,sizes
račune,bills
klinci,kids
domu,home
obećaj,promise
makni,makni
doveli,brought
ravno,straight
jim,Jim
nestati,disappear
bene,Bene
mraku,dark
koristili,used
мама,mum
имао,had
djevojku,girl
tipom,type
milosti,mercy
popij,drink
osmeh,a smile
borim,borim
човек,man
kapiram,I get it
učinite,do
prozora,windows
osećate,you feel
svakoj,every
suprotno,the opposite
automobila,cars
rachel,Rachel
njujorku,New York
ubijaju,they kill
morgan,Morgan
uplašena,frightened
johnny,Johnny
anđeo,angel
zahvalnosti,gratitude
muško,male
kutije,boxes
hrabrost,bravery
rođaka,cousin
ostrva,islands
obaviti,do
gost,guest
naredio,ordered
prihvati,accept
takvih,such
volje,will
džim,Jim
sigurnost,safety
dobićeš,you will get
umrli,died
upozorenje,warning
istoriju,history
objašnjava,explains
stvara,creates
inspektor,inspector
ponosna,proud
odustati,Give up
prezime,surname
pridružiti,join
budući,whereas
karta,map
никад,never
svinja,pig
teret,cargo
naporno,hard
važnije,more important
koristimo,we use
žrtvu,sacrifice
kože,leather
claire,Claire
zidu,wall
otiske,prints
robu,goods
uživam,Enjoying
robin,Robin
šumu,forest
učitelj,teacher
seti,remember
braka,marriage
diši,breathe
hrabar,bold
obična,ordinary
æemo,we will
di,di
završen,finished
granica,border
stvorenje,creature
izgubi,lose
nevjerojatno,amazing
vožnju,ride
kancelarija,Office
јесте,is
oslobodi,release
ево,here is
odrasli,adults
povuci,to pull
davide,to see
тата,dad
prijavio,reported
rečima,with words
milijuna,millions
cuo,cuo
poverenje,trust
ćale,daddy
čovekom,man
dobijam,getting
ume,Ume
otkrila,discovered
ponedeljak,monday
čije,whose
umetnost,art
upucao,shot
borimo,we are fighting
izgovor,excuse
igrali,played
filmove,movies
nikakvu,no
nevolja,troubles
hriste,Christ
izdržati,to handle
gubim,I'm losing
obezbeđenje,security
preklinjem,I beg
udata,married
ukrala,stolen
setio,remember
minute,minute
starim,getting older
nađete,find
zvanično,officially
aerodrom,airport
dejvide,David
ponovi,repeat
spomenuo,mentioned
bogati,rich
stajao,stood
njihovog,their
nosite,you wear
puca,shoot
bliski,close
nastavim,I continue
alarm,alarm
seronjo,asshole
podrumu,basement
danu,day
дај,give
istraživanja,research
sećanja,memories
džeri,Jerry
predugo,too long
čamac,boat
sila,force
odluči,decide
svira,he plays
cia,CIA
predlog,the proposal
kćerka,daughter
kelly,Kelly
proverio,checked
planirao,planned
